label,4_u1_200_p(1)
time_s,raw
0.032653061,959.000000
0.032766440,-389.500000
0.032879819,-888.000000
0.032993197,817.500000
0.033106576,-514.000000
0.033219955,-273.500000
0.033333333,1095.500000
0.033446712,-517.000000
0.033560091,-412.000000
0.033673469,754.000000
0.033786848,-529.000000
0.033900227,55.000000
0.034013605,1342.000000
0.034126984,-605.000000
0.034240363,100.500000
0.034353741,672.000000
0.034467120,-806.000000
0.034580499,298.500000
0.034693878,1131.500000
0.034807256,-593.000000
0.034920635,230.000000
0.035034014,579.000000
0.035147392,-1074.000000
0.035260771,334.500000
0.035374150,596.500000
0.035487528,-1100.000000
0.035600907,350.500000
0.035714286,197.500000
0.035827664,-806.000000
0.035941043,873.500000
0.036054422,604.000000
0.036167800,-704.000000
0.036281179,819.500000
0.036394558,194.000000
0.036507937,-898.500000
0.036621315,965.000000
0.036734694,205.000000
0.036848073,-420.500000
0.036961451,1134.500000
0.037074830,-157.000000
0.037188209,-849.000000
0.037301587,918.000000
0.037414966,-264.500000
0.037528345,-505.000000
0.037641723,1002.500000
0.037755102,-453.000000
0.037868481,-596.500000
0.037981859,808.500000
0.038095238,-672.500000
0.038208617,-201.000000
0.038321995,1085.000000
0.038435374,-609.000000
0.038548753,-265.500000
0.038662132,688.500000
0.038775510,-1193.500000
0.038888889,-340.500000
0.039002268,841.000000
0.039115646,-954.000000
0.039229025,4.500000
0.039342404,744.500000
0.039455782,-1185.000000
0.039569161,4.000000
0.039682540,562.500000
0.039795918,-1253.500000
0.039909297,40.000000
0.040022676,331.500000
0.040136054,-1407.500000
0.040249433,374.500000
0.040362812,465.500000
0.040476190,-1104.000000
0.040589569,711.500000
0.040702948,351.000000
0.040816327,-1302.000000
0.040929705,859.000000
0.041043084,74.000000
0.041156463,-1241.500000
0.041269841,875.500000
0.041383220,-38.500000
0.041496599,-978.000000
0.041609977,1052.500000
0.041723356,-10.500000
0.041836735,-1115.000000
0.041950113,1107.500000
0.042063492,-197.000000
0.042176871,-652.500000
0.042290249,1387.500000
0.042403628,-169.000000
0.042517007,-735.500000
0.042630385,1323.000000
0.042743764,-438.000000
0.042857143,-263.000000
0.042970522,1588.000000
0.043083900,-198.500000
0.043197279,-359.000000
0.043310658,1223.500000
0.043424036,-939.000000
0.043537415,-230.500000
0.043650794,1410.000000
0.043764172,-775.000000
0.043877551,23.500000
0.043990930,1326.500000
0.044104308,-1042.500000
0.044217687,90.500000
0.044331066,1203.500000
0.044444444,-1005.500000
0.044557823,260.000000
0.044671202,1194.000000
0.044784580,-1327.500000
0.044897959,429.000000
0.045011338,936.000000
0.045124717,-1078.000000
0.045238095,623.500000
0.045351474,704.500000
0.045464853,-1319.000000
0.045578231,776.000000
0.045691610,810.000000
0.045804989,-1264.500000
0.045918367,1088.500000
0.046031746,449.000000
0.046145125,-1657.000000
0.046258503,801.000000
0.046371882,116.000000
0.046485261,-1193.000000
0.046598639,1192.000000
0.046712018,-4.000000
0.046825397,-1625.000000
0.046938776,803.000000
0.047052154,-383.000000
0.047165533,-1339.000000
0.047278912,1428.500000
0.047392290,-352.500000
0.047505669,-1137.500000
0.047619048,1191.500000
0.047732426,-581.500000
0.047845805,-1022.500000
0.047959184,1584.500000
0.048072562,-527.500000
0.048185941,-1027.000000
0.048299320,1315.500000
0.048412698,-969.000000
0.048526077,-784.000000
0.048639456,1475.500000
0.048752834,-1305.000000
0.048866213,-878.500000
0.048979592,1167.000000
0.049092971,-1172.500000
0.049206349,-157.000000
0.049319728,1638.500000
0.049433107,-1234.000000
0.049546485,-260.500000
0.049659864,1268.000000
0.049773243,-1479.500000
0.049886621,173.000000
0.050000000,1638.000000
