time_s,envelope_detrended
0.061791383,0.103142
0.061904762,0.101153
0.062018141,0.099156
0.062131519,0.097153
0.062244898,0.095142
0.062358277,0.093125
0.062471655,0.091101
0.062585034,0.089070
0.062698413,0.087033
0.062811791,0.084990
0.062925170,0.082940
0.063038549,0.080884
0.063151927,0.078822
0.063265306,0.076754
0.063378685,0.074680
0.063492063,0.072600
0.063605442,0.070515
0.063718821,0.068425
0.063832200,0.066329
0.063945578,0.064228
0.064058957,0.062122
0.064172336,0.060011
0.064285714,0.057895
0.064399093,0.055774
0.064512472,0.053649
0.064625850,0.051519
0.064739229,0.049385
0.064852608,0.047247
0.064965986,0.045104
0.065079365,0.042958
0.065192744,0.040807
0.065306122,0.038653
0.065419501,0.036496
0.065532880,0.034335
0.065646259,0.032171
0.065759637,0.030004
0.065873016,0.027834
0.065986395,0.025661
0.066099773,0.023485
0.066213152,0.021307
0.066326531,0.019126
0.066439909,0.016943
0.066553288,0.014758
0.066666667,0.012572
0.066780045,0.010383
0.066893424,0.008193
0.067006803,0.006002
0.067120181,0.003809
0.067233560,0.001615
0.067346939,-0.000580
0.067460317,-0.002775
0.067573696,-0.004972
0.067687075,-0.007168
0.067800454,-0.009366
0.067913832,-0.011563
0.068027211,-0.013760
0.068140590,-0.015957
0.068253968,-0.018154
0.068367347,-0.020351
0.068480726,-0.022547
0.068594104,-0.024742
0.068707483,-0.026936
0.068820862,-0.029129
0.068934240,-0.031321
0.069047619,-0.033512
0.069160998,-0.035700
0.069274376,-0.037888
0.069387755,-0.040073
0.069501134,-0.042256
0.069614512,-0.044438
0.069727891,-0.046616
0.069841270,-0.048793
0.069954649,-0.050966
0.070068027,-0.053137
0.070181406,-0.055305
0.070294785,-0.057469
0.070408163,-0.059630
0.070521542,-0.061788
0.070634921,-0.063942
0.070748299,-0.066092
0.070861678,-0.068238
0.070975057,-0.070380
0.071088435,-0.072517
0.071201814,-0.074650
0.071315193,-0.076778
0.071428571,-0.078901
0.071541950,-0.081020
0.071655329,-0.083133
0.071768707,-0.085240
0.071882086,-0.087342
0.071995465,-0.089438
0.072108844,-0.091528
0.072222222,-0.093612
0.072335601,-0.095690
0.072448980,-0.097761
0.072562358,-0.099825
0.072675737,-0.101883
0.072789116,-0.103933
0.072902494,-0.105977
0.073015873,-0.108013
0.073129252,-0.110041
0.073242630,-0.112062
0.073356009,-0.114075
0.073469388,-0.116080
0.073582766,-0.118077
0.073696145,-0.120065
0.073809524,-0.122045
0.073922902,-0.124016
0.074036281,-0.125978
0.074149660,-0.127931
0.074263039,-0.129875
0.074376417,-0.131810
0.074489796,-0.133735
0.074603175,-0.135650
0.074716553,-0.137556
0.074829932,-0.139451
0.074943311,-0.141337
0.075056689,-0.143212
0.075170068,-0.145076
0.075283447,-0.146930
0.075396825,-0.148773
0.075510204,-0.150605
0.075623583,-0.152425
0.075736961,-0.154235
0.075850340,-0.156033
0.075963719,-0.157819
0.076077098,-0.159594
0.076190476,-0.161356
0.076303855,-0.163107
0.076417234,-0.164845
0.076530612,-0.166571
0.076643991,-0.168284
0.076757370,-0.169985
0.076870748,-0.171673
0.076984127,-0.173347
0.077097506,-0.175009
0.077210884,-0.176657
0.077324263,-0.178292
0.077437642,-0.179913
0.077551020,-0.181521
0.077664399,-0.183114
0.077777778,-0.184694
0.077891156,-0.186259
0.078004535,-0.187810
0.078117914,-0.189347
0.078231293,-0.190869
0.078344671,-0.192377
0.078458050,-0.193869
0.078571429,-0.195347
0.078684807,-0.196809
0.078798186,-0.198257
0.078911565,-0.199689
0.079024943,-0.201105
0.079138322,-0.202506
0.079251701,-0.203891
0.079365079,-0.205261
0.079478458,-0.206614
0.079591837,-0.207952
0.079705215,-0.209273
0.079818594,-0.210578
0.079931973,-0.211867
0.080045351,-0.213139
0.080158730,-0.214395
0.080272109,-0.215634
0.080385488,-0.216856
0.080498866,-0.218062
0.080612245,-0.219250
0.080725624,-0.220422
0.080839002,-0.221576
0.080952381,-0.222713
0.081065760,-0.223833
0.081179138,-0.224935
0.081292517,-0.226020
0.081405896,-0.227087
0.081519274,-0.228137
0.081632653,-0.229169
0.081746032,-0.230183
0.081859410,-0.231180
0.081972789,-0.232158
0.082086168,-0.233118
0.082199546,-0.234060
0.082312925,-0.234985
0.082426304,-0.235890
0.082539683,-0.236778
0.082653061,-0.237647
0.082766440,-0.238497
0.082879819,-0.239330
0.082993197,-0.240143
0.083106576,-0.240938
0.083219955,-0.241714
0.083333333,-0.242472
0.083446712,-0.243210
0.083560091,-0.243930
0.083673469,-0.244631
0.083786848,-0.245313
0.083900227,-0.245976
0.084013605,-0.246620
0.084126984,-0.247245
0.084240363,-0.247851
0.084353741,-0.248438
0.084467120,-0.249005
0.084580499,-0.249554
0.084693878,-0.250083
0.084807256,-0.250592
0.084920635,-0.251083
0.085034014,-0.251554
0.085147392,-0.252006
0.085260771,-0.252439
0.085374150,-0.252852
0.085487528,-0.253246
0.085600907,-0.253621
0.085714286,-0.253977
0.085827664,-0.254313
0.085941043,-0.254630
0.086054422,-0.254927
0.086167800,-0.255206
0.086281179,-0.255465
0.086394558,-0.255705
0.086507937,-0.255926
0.086621315,-0.256127
0.086734694,-0.256309
0.086848073,-0.256473
0.086961451,-0.256617
0.087074830,-0.256742
0.087188209,-0.256848
0.087301587,-0.256935
0.087414966,-0.257003
0.087528345,-0.257052
0.087641723,-0.257083
0.087755102,-0.257094
0.087868481,-0.257087
0.087981859,-0.257061
0.088095238,-0.257017
0.088208617,-0.256954
0.088321995,-0.256872
0.088435374,-0.256772
0.088548753,-0.256654
0.088662132,-0.256517
0.088775510,-0.256362
0.088888889,-0.256189
0.089002268,-0.255998
0.089115646,-0.255789
0.089229025,-0.255562
0.089342404,-0.255317
0.089455782,-0.255054
0.089569161,-0.254774
0.089682540,-0.254476
