label,4_u1_200_p(1)
time_s,envelope
0.012925170,0.743487
0.013038549,0.745294
0.013151927,0.747117
0.013265306,0.748954
0.013378685,0.750805
0.013492063,0.752671
0.013605442,0.754551
0.013718821,0.756445
0.013832200,0.758352
0.013945578,0.760273
0.014058957,0.762207
0.014172336,0.764154
0.014285714,0.766114
0.014399093,0.768086
0.014512472,0.770071
0.014625850,0.772067
0.014739229,0.774076
0.014852608,0.776096
0.014965986,0.778127
0.015079365,0.780170
0.015192744,0.782224
0.015306122,0.784288
0.015419501,0.786363
0.015532880,0.788448
0.015646259,0.790544
0.015759637,0.792649
0.015873016,0.794764
0.015986395,0.796888
0.016099773,0.799022
0.016213152,0.801164
0.016326531,0.803315
0.016439909,0.805475
0.016553288,0.807643
0.016666667,0.809819
0.016780045,0.812003
0.016893424,0.814195
0.017006803,0.816394
0.017120181,0.818601
0.017233560,0.820814
0.017346939,0.823035
0.017460317,0.825262
0.017573696,0.827495
0.017687075,0.829735
0.017800454,0.831980
0.017913832,0.834232
0.018027211,0.836489
0.018140590,0.838751
0.018253968,0.841019
0.018367347,0.843292
0.018480726,0.845569
0.018594104,0.847851
0.018707483,0.850138
0.018820862,0.852429
0.018934240,0.854724
0.019047619,0.857023
0.019160998,0.859325
0.019274376,0.861632
0.019387755,0.863941
0.019501134,0.866253
0.019614512,0.868569
0.019727891,0.870887
0.019841270,0.873208
0.019954649,0.875531
0.020068027,0.877857
0.020181406,0.880184
0.020294785,0.882514
0.020408163,0.884845
0.020521542,0.887178
0.020634921,0.889512
0.020748299,0.891848
0.020861678,0.894185
0.020975057,0.896523
0.021088435,0.898861
0.021201814,0.901200
0.021315193,0.903540
0.021428571,0.905880
0.021541950,0.908220
0.021655329,0.910560
0.021768707,0.912900
0.021882086,0.915240
0.021995465,0.917579
0.022108844,0.919918
0.022222222,0.922256
0.022335601,0.924593
0.022448980,0.926929
0.022562358,0.929264
0.022675737,0.931598
0.022789116,0.933930
0.022902494,0.936260
0.023015873,0.938589
0.023129252,0.940915
0.023242630,0.943240
0.023356009,0.945563
0.023469388,0.947883
0.023582766,0.950201
0.023696145,0.952516
0.023809524,0.954829
0.023922902,0.957138
0.024036281,0.959445
0.024149660,0.961749
0.024263039,0.964050
0.024376417,0.966347
0.024489796,0.968642
0.024603175,0.970932
0.024716553,0.973219
0.024829932,0.975503
0.024943311,0.977782
0.025056689,0.980058
0.025170068,0.982329
0.025283447,0.984596
0.025396825,0.986860
0.025510204,0.989118
0.025623583,0.991373
0.025736961,0.993622
0.025850340,0.995867
0.025963719,0.998108
0.026077098,1.000343
0.026190476,1.002574
0.026303855,1.004799
0.026417234,1.007020
0.026530612,1.009235
0.026643991,1.011445
0.026757370,1.013650
0.026870748,1.015849
0.026984127,1.018042
0.027097506,1.020230
0.027210884,1.022413
0.027324263,1.024589
0.027437642,1.026760
0.027551020,1.028924
0.027664399,1.031083
0.027777778,1.033235
0.027891156,1.035381
0.028004535,1.037521
0.028117914,1.039655
0.028231293,1.041782
0.028344671,1.043903
0.028458050,1.046017
0.028571429,1.048125
0.028684807,1.050226
0.028798186,1.052320
0.028911565,1.054407
0.029024943,1.056488
0.029138322,1.058561
0.029251701,1.060628
0.029365079,1.062688
0.029478458,1.064740
0.029591837,1.066786
0.029705215,1.068824
0.029818594,1.070856
0.029931973,1.072880
0.030045351,1.074896
0.030158730,1.076906
0.030272109,1.078908
0.030385488,1.080902
0.030498866,1.082890
0.030612245,1.084870
0.030725624,1.086842
0.030839002,1.088807
0.030952381,1.090764
0.031065760,1.092714
0.031179138,1.094656
0.031292517,1.096591
0.031405896,1.098518
0.031519274,1.100437
0.031632653,1.102349
0.031746032,1.104252
0.031859410,1.106148
0.031972789,1.108037
0.032086168,1.109918
0.032199546,1.111790
0.032312925,1.113655
0.032426304,1.115513
0.032539683,1.117362
0.032653061,1.119204
0.032766440,1.121037
0.032879819,1.122863
0.032993197,1.124681
0.033106576,1.126492
0.033219955,1.128294
0.033333333,1.130088
0.033446712,1.131875
0.033560091,1.133653
0.033673469,1.135424
0.033786848,1.137187
0.033900227,1.138942
0.034013605,1.140689
0.034126984,1.142428
0.034240363,1.144159
0.034353741,1.145883
0.034467120,1.147598
0.034580499,1.149305
0.034693878,1.151005
0.034807256,1.152697
0.034920635,1.154380
0.035034014,1.156056
0.035147392,1.157724
0.035260771,1.159384
0.035374150,1.161037
0.035487528,1.162681
0.035600907,1.164317
0.035714286,1.165946
0.035827664,1.167567
0.035941043,1.169180
0.036054422,1.170785
0.036167800,1.172383
0.036281179,1.173972
0.036394558,1.175555
0.036507937,1.177129
0.036621315,1.178696
0.036734694,1.180255
0.036848073,1.181806
0.036961451,1.183350
0.037074830,1.184886
0.037188209,1.186415
0.037301587,1.187937
0.037414966,1.189451
0.037528345,1.190958
0.037641723,1.192457
0.037755102,1.193949
0.037868481,1.195434
0.037981859,1.196912
0.038095238,1.198383
0.038208617,1.199847
0.038321995,1.201303
