label,4_u1_200_p(1)
time_s,envelope_detrended
0.055782313,0.083861
0.055895692,0.084859
0.056009070,0.085851
0.056122449,0.086837
0.056235828,0.087817
0.056349206,0.088791
0.056462585,0.089758
0.056575964,0.090720
0.056689342,0.091675
0.056802721,0.092625
0.056916100,0.093569
0.057029478,0.094507
0.057142857,0.095439
0.057256236,0.096366
0.057369615,0.097287
0.057482993,0.098203
0.057596372,0.099113
0.057709751,0.100017
0.057823129,0.100917
0.057936508,0.101811
0.058049887,0.102700
0.058163265,0.103583
0.058276644,0.104462
0.058390023,0.105335
0.058503401,0.106204
0.058616780,0.107068
0.058730159,0.107927
0.058843537,0.108781
0.058956916,0.109630
0.059070295,0.110475
0.059183673,0.111315
0.059297052,0.112150
0.059410431,0.112982
0.059523810,0.113808
0.059637188,0.114631
0.059750567,0.115449
0.059863946,0.116263
0.059977324,0.117073
0.060090703,0.117878
0.060204082,0.118680
0.060317460,0.119478
0.060430839,0.120272
0.060544218,0.121062
0.060657596,0.121849
0.060770975,0.122631
0.060884354,0.123410
0.060997732,0.124186
0.061111111,0.124958
0.061224490,0.125727
0.061337868,0.126492
0.061451247,0.127254
0.061564626,0.128012
0.061678005,0.128768
0.061791383,0.129520
0.061904762,0.130269
0.062018141,0.131016
0.062131519,0.131759
0.062244898,0.132499
0.062358277,0.133237
0.062471655,0.133971
0.062585034,0.134703
0.062698413,0.135432
0.062811791,0.136159
0.062925170,0.136883
0.063038549,0.137604
0.063151927,0.138323
0.063265306,0.139039
0.063378685,0.139753
0.063492063,0.140465
0.063605442,0.141174
0.063718821,0.141881
0.063832200,0.142586
0.063945578,0.143288
0.064058957,0.143989
0.064172336,0.144687
0.064285714,0.145383
0.064399093,0.146077
0.064512472,0.146770
0.064625850,0.147460
0.064739229,0.148148
0.064852608,0.148835
0.064965986,0.149519
0.065079365,0.150202
0.065192744,0.150883
0.065306122,0.151563
0.065419501,0.152240
0.065532880,0.152916
0.065646259,0.153591
0.065759637,0.154263
0.065873016,0.154935
0.065986395,0.155604
0.066099773,0.156272
0.066213152,0.156938
0.066326531,0.157603
0.066439909,0.158267
0.066553288,0.158929
0.066666667,0.159589
0.066780045,0.160248
0.066893424,0.160906
0.067006803,0.161562
0.067120181,0.162217
0.067233560,0.162870
0.067346939,0.163523
0.067460317,0.164173
0.067573696,0.164823
0.067687075,0.165472
0.067800454,0.166119
0.067913832,0.166765
0.068027211,0.167409
0.068140590,0.168053
0.068253968,0.168695
0.068367347,0.169336
0.068480726,0.169976
0.068594104,0.170615
0.068707483,0.171253
0.068820862,0.171889
